"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHWEST HEALTHCARE SYSTEM,050701,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SOUTHWEST HEALTHCARE SYSTEM,050701,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MISSION COMMUNITY HOSPITAL,050704,CA,READM-30-PN-HRRP,257,,1.0252,20.7047,20.1965,55,07/01/2019,06/30/2022
MISSION COMMUNITY HOSPITAL,050704,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9331,4.1840,4.4840,Too Few to Report,07/01/2019,06/30/2022
MISSION COMMUNITY HOSPITAL,050704,CA,READM-30-HF-HRRP,93,,0.9748,22.3271,22.9053,19,07/01/2019,06/30/2022
MISSION COMMUNITY HOSPITAL,050704,CA,READM-30-COPD-HRRP,N/A,,0.9454,18.3306,19.3901,Too Few to Report,07/01/2019,06/30/2022
MISSION COMMUNITY HOSPITAL,050704,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MISSION COMMUNITY HOSPITAL,050704,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FRESNO SURGICAL HOSPITAL,050708,CA,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FRESNO SURGICAL HOSPITAL,050708,CA,READM-30-HIP-KNEE-HRRP,517,,0.9717,3.7588,3.8684,19,07/01/2019,06/30/2022
FRESNO SURGICAL HOSPITAL,050708,CA,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FRESNO SURGICAL HOSPITAL,050708,CA,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FRESNO SURGICAL HOSPITAL,050708,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FRESNO SURGICAL HOSPITAL,050708,CA,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
DESERT VALLEY HOSPITAL,050709,CA,READM-30-PN-HRRP,163,,1.1491,21.4943,18.7057,45,07/01/2019,06/30/2022
DESERT VALLEY HOSPITAL,050709,CA,READM-30-HIP-KNEE-HRRP,N/A,,1.0097,5.7828,5.7272,Too Few to Report,07/01/2019,06/30/2022
DESERT VALLEY HOSPITAL,050709,CA,READM-30-HF-HRRP,181,,1.0337,23.0310,22.2794,44,07/01/2019,06/30/2022
DESERT VALLEY HOSPITAL,050709,CA,READM-30-COPD-HRRP,61,,1.0857,23.4266,21.5769,20,07/01/2019,06/30/2022
DESERT VALLEY HOSPITAL,050709,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
DESERT VALLEY HOSPITAL,050709,CA,READM-30-AMI-HRRP,82,,0.9882,17.8236,18.0367,14,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - FRESNO,050710,CA,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - FRESNO,050710,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - FRESNO,050710,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - FRESNO,050710,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - FRESNO,050710,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - FRESNO,050710,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,READM-30-HIP-KNEE-HRRP,N/A,,1.0287,3.5806,3.4806,Too Few to Report,07/01/2019,06/30/2022
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAKERSFIELD HEART HOSPITAL,050724,CA,READM-30-PN-HRRP,137,,0.9956,17.7440,17.8233,24,07/01/2019,06/30/2022
BAKERSFIELD HEART HOSPITAL,050724,CA,READM-30-HIP-KNEE-HRRP,N/A,,1.0392,4.5762,4.4037,Too Few to Report,07/01/2019,06/30/2022
BAKERSFIELD HEART HOSPITAL,050724,CA,READM-30-HF-HRRP,225,,1.0340,21.2176,20.5195,50,07/01/2019,06/30/2022
BAKERSFIELD HEART HOSPITAL,050724,CA,READM-30-COPD-HRRP,N/A,,0.9713,18.4082,18.9525,Too Few to Report,07/01/2019,06/30/2022
BAKERSFIELD HEART HOSPITAL,050724,CA,READM-30-CABG-HRRP,N/A,,0.9515,9.4136,9.8938,Too Few to Report,07/01/2019,06/30/2022
BAKERSFIELD HEART HOSPITAL,050724,CA,READM-30-AMI-HRRP,147,,1.0109,15.2780,15.1132,23,07/01/2019,06/30/2022
STANISLAUS SURGICAL HOSPITAL,050726,CA,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
STANISLAUS SURGICAL HOSPITAL,050726,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.8105,2.6634,3.2862,Too Few to Report,07/01/2019,06/30/2022
STANISLAUS SURGICAL HOSPITAL,050726,CA,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
STANISLAUS SURGICAL HOSPITAL,050726,CA,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
STANISLAUS SURGICAL HOSPITAL,050726,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
STANISLAUS SURGICAL HOSPITAL,050726,CA,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,READM-30-PN-HRRP,87,,1.0610,17.1963,16.2076,19,07/01/2019,06/30/2022
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,READM-30-HF-HRRP,74,,0.9943,20.8047,20.9249,15,07/01/2019,06/30/2022
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,READM-30-COPD-HRRP,N/A,,0.9354,18.8385,20.1402,Too Few to Report,07/01/2019,06/30/2022
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTEREY PARK HOSPITAL,050736,CA,READM-30-PN-HRRP,N/A,,0.9619,14.6273,15.2061,Too Few to Report,07/01/2019,06/30/2022
MONTEREY PARK HOSPITAL,050736,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTEREY PARK HOSPITAL,050736,CA,READM-30-HF-HRRP,N/A,,0.9918,19.4110,19.5715,Too Few to Report,07/01/2019,06/30/2022
MONTEREY PARK HOSPITAL,050736,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTEREY PARK HOSPITAL,050736,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTEREY PARK HOSPITAL,050736,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GARFIELD MEDICAL CENTER,050737,CA,READM-30-PN-HRRP,213,,1.0924,18.2477,16.7035,45,07/01/2019,06/30/2022
GARFIELD MEDICAL CENTER,050737,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GARFIELD MEDICAL CENTER,050737,CA,READM-30-HF-HRRP,163,,1.0710,21.1009,19.7028,39,07/01/2019,06/30/2022
GARFIELD MEDICAL CENTER,050737,CA,READM-30-COPD-HRRP,N/A,,0.9912,17.1902,17.3424,Too Few to Report,07/01/2019,06/30/2022
GARFIELD MEDICAL CENTER,050737,CA,READM-30-CABG-HRRP,N/A,,1.0147,12.3284,12.1503,Too Few to Report,07/01/2019,06/30/2022
GARFIELD MEDICAL CENTER,050737,CA,READM-30-AMI-HRRP,78,,1.0388,14.2713,13.7386,13,07/01/2019,06/30/2022
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,READM-30-PN-HRRP,90,,0.9662,21.7406,22.5009,17,07/01/2019,06/30/2022
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,READM-30-PN-HRRP,255,,1.1540,25.1898,21.8277,75,07/01/2019,06/30/2022
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,READM-30-HF-HRRP,344,,1.0712,25.8911,24.1700,94,07/01/2019,06/30/2022
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,READM-30-COPD-HRRP,118,,1.0505,25.8182,24.5779,34,07/01/2019,06/30/2022
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,READM-30-AMI-HRRP,75,,1.1032,23.4093,21.2202,23,07/01/2019,06/30/2022
CEDAR-SINAI MARINA DEL REY HOSPITAL,050740,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CEDAR-SINAI MARINA DEL REY HOSPITAL,050740,CA,READM-30-PN-HRRP,163,,1.0309,19.5302,18.9446,34,07/01/2019,06/30/2022
CEDAR-SINAI MARINA DEL REY HOSPITAL,050740,CA,READM-30-HIP-KNEE-HRRP,N/A,,1.1629,5.6395,4.8495,Too Few to Report,07/01/2019,06/30/2022
CEDAR-SINAI MARINA DEL REY HOSPITAL,050740,CA,READM-30-HF-HRRP,121,,1.0470,21.3809,20.4207,29,07/01/2019,06/30/2022
CEDAR-SINAI MARINA DEL REY HOSPITAL,050740,CA,READM-30-COPD-HRRP,N/A,,1.0072,23.1736,23.0074,Too Few to Report,07/01/2019,06/30/2022
CEDAR-SINAI MARINA DEL REY HOSPITAL,050740,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,READM-30-PN-HRRP,N/A,,1.0210,15.9953,15.6664,Too Few to Report,07/01/2019,06/30/2022
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,READM-30-PN-HRRP,N/A,,0.9988,17.8850,17.9057,Too Few to Report,07/01/2019,06/30/2022
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,READM-30-HIP-KNEE-HRRP,N/A,,1.0412,4.2662,4.0973,Too Few to Report,07/01/2019,06/30/2022
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,READM-30-PN-HRRP,93,,1.0019,18.1367,18.1025,17,07/01/2019,06/30/2022
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,READM-30-HF-HRRP,N/A,,0.9756,20.5353,21.0495,Too Few to Report,07/01/2019,06/30/2022
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,READM-30-AMI-HRRP,N/A,,1.1051,16.6520,15.0687,Too Few to Report,07/01/2019,06/30/2022
COASTAL COMMUNITIES HOSPITAL,050747,CA,READM-30-PN-HRRP,N/A,,0.9921,18.0362,18.1791,Too Few to Report,07/01/2019,06/30/2022
COASTAL COMMUNITIES HOSPITAL,050747,CA,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COASTAL COMMUNITIES HOSPITAL,050747,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COASTAL COMMUNITIES HOSPITAL,050747,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COASTAL COMMUNITIES HOSPITAL,050747,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COASTAL COMMUNITIES HOSPITAL,050747,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,READM-30-COPD-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SHERMAN OAKS HOSPITAL,050755,CA,READM-30-PN-HRRP,268,,1.0450,23.3903,22.3821,66,07/01/2019,06/30/2022
SHERMAN OAKS HOSPITAL,050755,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9152,4.2572,4.6515,Too Few to Report,07/01/2019,06/30/2022
SHERMAN OAKS HOSPITAL,050755,CA,READM-30-HF-HRRP,191,,1.0963,24.9110,22.7220,54,07/01/2019,06/30/2022
SHERMAN OAKS HOSPITAL,050755,CA,READM-30-COPD-HRRP,N/A,,1.0131,20.2927,20.0309,Too Few to Report,07/01/2019,06/30/2022
SHERMAN OAKS HOSPITAL,050755,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SHERMAN OAKS HOSPITAL,050755,CA,READM-30-AMI-HRRP,56,,1.0936,18.6398,17.0447,15,07/01/2019,06/30/2022
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,READM-30-PN-HRRP,151,,0.9960,18.7335,18.8096,28,07/01/2019,06/30/2022
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9657,4.3624,4.5173,Too Few to Report,07/01/2019,06/30/2022
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,READM-30-HF-HRRP,104,,1.0328,22.8529,22.1266,26,07/01/2019,06/30/2022
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,READM-30-COPD-HRRP,N/A,,1.0057,17.6155,17.5156,Too Few to Report,07/01/2019,06/30/2022
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,READM-30-CABG-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,READM-30-AMI-HRRP,N/A,,0.9754,20.6222,21.1430,Too Few to Report,07/01/2019,06/30/2022
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,READM-30-PN-HRRP,101,,1.1279,22.1138,19.6056,31,07/01/2019,06/30/2022
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,050761,CA,READM-30-PN-HRRP,226,,1.0375,18.7627,18.0850,45,07/01/2019,06/30/2022
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,050761,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.8756,5.5409,6.3278,Too Few to Report,07/01/2019,06/30/2022
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,050761,CA,READM-30-HF-HRRP,467,,1.0653,21.5713,20.2483,105,07/01/2019,06/30/2022
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,050761,CA,READM-30-COPD-HRRP,116,,0.9424,17.9339,19.0290,17,07/01/2019,06/30/2022
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,050761,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,050761,CA,READM-30-AMI-HRRP,114,,1.0501,15.3935,14.6589,20,07/01/2019,06/30/2022
L A DOWNTOWN MEDICAL CENTER,050763,CA,READM-30-PN-HRRP,282,,1.1382,21.1931,18.6202,69,07/01/2019,06/30/2022
L A DOWNTOWN MEDICAL CENTER,050763,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
L A DOWNTOWN MEDICAL CENTER,050763,CA,READM-30-HF-HRRP,N/A,,1.0109,22.2998,22.0597,Too Few to Report,07/01/2019,06/30/2022
L A DOWNTOWN MEDICAL CENTER,050763,CA,READM-30-COPD-HRRP,141,,1.0405,21.5267,20.6886,33,07/01/2019,06/30/2022
L A DOWNTOWN MEDICAL CENTER,050763,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
L A DOWNTOWN MEDICAL CENTER,050763,CA,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SHASTA REGIONAL MEDICAL CENTER,050764,CA,READM-30-PN-HRRP,362,,0.9446,15.7068,16.6288,53,07/01/2019,06/30/2022
SHASTA REGIONAL MEDICAL CENTER,050764,CA,READM-30-HIP-KNEE-HRRP,234,,1.0741,4.2375,3.9449,11,07/01/2019,06/30/2022
SHASTA REGIONAL MEDICAL CENTER,050764,CA,READM-30-HF-HRRP,380,,1.0282,18.9951,18.4749,74,07/01/2019,06/30/2022
SHASTA REGIONAL MEDICAL CENTER,050764,CA,READM-30-COPD-HRRP,159,,1.1014,20.5163,18.6278,39,07/01/2019,06/30/2022
SHASTA REGIONAL MEDICAL CENTER,050764,CA,READM-30-CABG-HRRP,98,,1.0412,13.0974,12.5798,14,07/01/2019,06/30/2022
SHASTA REGIONAL MEDICAL CENTER,050764,CA,READM-30-AMI-HRRP,172,,0.9677,13.1294,13.5680,21,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,CA,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,CA,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,CA,READM-30-COPD-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,CA,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SUTTER SURGICAL HOSPITAL - NORTH VALLEY,050766,CA,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
